"Freq [GHz]","dB(S(1,1)) [] - $Er='2.5'","dB(S(1,1)) [] - $Er='2.6'","dB(S(1,1)) [] - $Er='2.7'","dB(S(1,1)) [] - $Er='2.8'","dB(S(1,1)) [] - $Er='2.9'","dB(S(1,1)) [] - $Er='3'","dB(S(1,1)) [] - $Er='3.1'","dB(S(1,1)) [] - $Er='3.2'","dB(S(1,1)) [] - $Er='3.3'","dB(S(1,1)) [] - $Er='3.4'","dB(S(1,1)) [] - $Er='3.5'","dB(S(1,1)) [] - $Er='3.6'","dB(S(1,1)) [] - $Er='3.7'","dB(S(1,1)) [] - $Er='3.8'","dB(S(1,1)) [] - $Er='3.9'","dB(S(1,1)) [] - $Er='4'","dB(S(1,1)) [] - $Er='4.4'"
1.85,-23.559240829778,-45.2346448469096,-35.7506468183207,-38.1848889346695,-48.5929866846006,-46.894278970587,-33.7116337356423,-32.8110445998004,-30.5252345721843,-34.9836825026687,-40.7681359716676,-34.0103403645664,-32.1563070083528,-38.5395672293214,-34.5401800330515,-37.2213627893393,-48.6103025381587
1.86,-23.6295045543605,-45.4209765324609,-35.7451038139637,-38.0262522791317,-48.2424782329057,-46.4855540272125,-33.6889044260699,-32.9837503998899,-30.5698226393508,-34.8229404392406,-41.3309831119727,-33.8281315553703,-32.1908015692098,-38.5140962760299,-34.56015138681,-37.6448765013193,-48.5618769212536
1.87,-23.7052157667201,-45.6192206066153,-35.7440314421341,-37.8710040868504,-47.9122924729675,-46.0806533518873,-33.6694848889284,-33.1648086756045,-30.620078008028,-34.672626595095,-41.9346198263399,-33.659801125886,-32.2298039777471,-38.4973234292857,-34.5860117884471,-38.089344350985,-48.4353357575518
1.88,-23.7864525979082,-45.8299231559371,-35.7473767323766,-37.7189962151758,-47.6010974560245,-45.6830920812047,-33.6533785427886,-33.3542592108093,-30.676071156202,-34.532489092612,-42.5813428703234,-33.504913374572,-32.2732908323214,-38.4897035911237,-34.6179396542093,-38.5544822447626,-48.22937711714
1.89,-23.8733010665232,-46.0536795960348,-35.7550894860746,-37.5700967746295,-47.3077220218438,-45.2953922364514,-33.6405949896842,-33.55213072809,-30.7378801730424,-34.4022874561423,-43.2725064814857,-33.3630393623177,-32.3212409846125,-38.4918262313949,-34.6562488446358,-39.0393304077148,-47.947788430747
1.9,-23.9658554149294,-46.2911377060001,-35.7671221258587,-37.4241891455784,-47.0311323825235,-44.9193069721007,-33.6311493553703,-33.7584374167358,-30.8055905142596,-34.2817905910235,-44.0074700887523,-33.2337542678148,-32.3736358764205,-38.5044291329334,-34.7014226057688,-39.5419234917918,-47.5987478385031
1.91,-24.064218476233,-46.5430001575411,-35.7834295433463,-37.2811710492856,-46.7704125072475,-44.5560067294797,-33.6250616009125,-33.973174407199,-30.8792947360381,-34.1707751173125,-44.7817482456751,-33.1166356300984,-32.4304598771777,-38.528413085294,-34.7541554707141,-40.0588354372807,-47.1934218168732
1.92,-24.1685020749346,-46.8100261356161,-35.8039689434094,-37.1409536682092,-46.5247475985213,-44.2062279403409,-33.622355806797,-34.1963119321953,-30.9590922112723,-34.0690240301007,-45.5838940732922,-33.0112623688267,-32.4917006164857,-38.5648572848297,-34.8154045957414,-40.5845756904013,-46.7443224990798
1.93,-24.2788274645575,-47.093031433546,-35.8286996832027,-37.0034608112267,-46.2934100940025,-43.8703887593676,-33.6230594312887,-34.4277878604557,-31.045088832658,-33.9763256602647,-46.3906408252329,-32.9172144746785,-32.5573493057252,-38.6150350571947,-34.8864518409543,-41.1108383354987,-46.2638558789031
1.94,-24.3953258059541,-47.3928860869542,-35.8575831042066,-36.8686281201166,-46.075747741764,-43.5486774938691,-33.6272025453505,-34.6674982264764,-31.1373967080112,-33.8924729108762,-47.1604652444982,-32.834073264512,-32.6274010425083,-38.6804293502901,-34.9689773090436,-41.6256704236338,-45.7633032329061
1.95,-24.5181386904187,-47.7105081354976,-35.8905823555539,-36.7364023141479,-45.8711733867374,-43.2411192595509,-33.6348170470605,-34.9152853092778,-31.2361338539574,-33.8172627454513,-47.8281166696949,-32.7614220992938,-32.7018550914512,-38.762747259803,-35.0651436899855,-42.1127550162328,-45.252274418747
1.96,-24.647418712191,-48.0468513914226,-35.927662206912,-36.6067404700564,-45.6791561771816,-42.9476256902071,-33.6459358591102,-35.1709227378912,-31.3414238948527,-33.7504959049611,-48.3074897000588,-32.6988474676642,-32.7807151344278,-38.8639326640742,-35.1776881170225,-42.5512059891743,-44.7385429165285
1.97,-24.783330095403,-48.4028840339147,-35.9687888491877,-36.4796093350191,-45.4992139563312,-42.668031672542,-33.6605921136099,-35.4340970269936,-31.4533957744113,-33.6919768311703,-48.5131048217012,-32.6459403444569,-32.863989483125,-38.9861758914575,-35.3100136208116,-42.91647991425,-44.2281302212512
1.98,-24.926049381004,-48.7795532684354,-36.0139296813068,-36.3549846705164,-45.3309066490643,-42.4021222577155,-33.6788183290573,-35.7043848839132,-31.5721834879971,-33.6415137745651,-48.398461190516,-32.6022977414615,-32.9516912463514,-39.1319192689829,-35.4662648444525,-43.1830124746047,-43.7255206399379
1.99,-25.0757661796752,-49.1777289481775,-36.0630530812968,-36.2328506251918,-45.1738304889835,-42.1496521948009,-33.7006455849031,-35.9812255973308,-31.6979258438417,-33.5989190659355,-47.9832169886913,-32.5675243769694,-33.0438384441633,-39.3038574699158,-35.6513617439917,-43.3286576476521,-43.2339221265217
2,-25.2326839972011,-49.598115619016,-36.116128159872,-36.1131991350031,-45.0276129596476,-41.9103599558158,-33.7261026996666,-36.2638878495461,-31.8307662615301,-33.56400953167,-47.341179791026,-32.541234400835,-33.140454060463,-39.5049318661449,-35.8709505677888,-43.3398609033895,-42.7555230163822
